Name,Team,Level,GP,G,A,P
MichaelQSweatt,RenoIce,10A,21,2,4,6,0
DeclanPHealy,RenoIce,10A,21,6,2,8,0
ScottWWackowski,RenoIce,10A,21,6,3,9,0
PerryJWilliams,RenoIce,10A,21,12,9,21,0
RyanSDonahue,SanJoseJrSharks,10A-2,30,2,8,10,0
EllisCPersson,SanJoseJrSharks,10A-2,36,6,20,26,0
ZiyadMElhawary,SanJoseJrSharks,10A-2,36,28,7,35,0
JaydenTRamos,SanJoseJrSharks,10A-2,36,5,11,16,0
BodenEvjenth,SanJoseJrSharks,10A-2,35,34,16,50,0
EirikAHotz,SanJoseJrSharks,10A-2,36,6,15,21,0
HunterASmith,SanJoseJrSharks,10A-2,31,52,30,82,0
EvanLiu,SanJoseJrSharks,10A-2,36,8,15,23,0
NikolaSvircic,SanJoseJrSharks,10A-2,35,1,18,19,0
PrestonPMacHado,SanJoseJrSharks,10A-2,35,17,13,30,0
TysonJUrbaniak,SanJoseJrSharks,10A-2,36,6,11,17,0
YichenZhu,SanJoseJrSharks,10A-2,36,20,4,24,0
ElissaMMoore-Knight,CupertinoCougars,10A,27,3,12,15,0
PrianshuBarman,CupertinoCougars,10A,30,12,9,21,0
LandonIPacleb,CupertinoCougars,10A,29,12,3,15,0
ReeceABurbank,CupertinoCougars,10A,30,18,17,35,0
IanSue,CupertinoCougars,10A,29,15,14,29,0
JaceSunseri,CupertinoCougars,10A,30,18,18,36,0
JohnNCanoyerIV,CupertinoCougars,10A,30,8,11,19,0
BowenWang,CupertinoCougars,10A,30,15,18,33,0
NicholasNHe,CupertinoCougars,10A,30,16,16,32,0
EverettWard,CupertinoCougars,10A,29,11,11,22,0
JiachengLi,CupertinoCougars,10A,29,4,10,14,0
AlexWu,CupertinoCougars,10A,30,1,7,8,0
AlexanderMLucas,CupertinoCougars,10A,30,5,11,16,0
ZhiKengYue,CupertinoCougars,10A,25,12,7,19,0
AndrewCao,CupertinoCougars,10BB,28,14,11,25,0
EthanLOlivier,CupertinoCougars,10BB,28,14,14,28,0
TabithaKDejelo,CupertinoCougars,10BB,28,4,7,11,0
YoavPorat,CupertinoCougars,10BB,28,7,25,32,0
OpheliaRHavens,CupertinoCougars,10BB,27,7,7,14,0
ColeSunseri,CupertinoCougars,10BB,28,13,13,26,0
DamoZMoore,CupertinoCougars,10BB,28,22,14,36,0
LinusDTanabe,CupertinoCougars,10BB,28,8,7,15,0
ConnorRMorita,CupertinoCougars,10BB,28,27,13,40,0
EmmaAXue,CupertinoCougars,10BB,27,16,13,29,0
EmmaAXue,TriValleyLadyBlueDevils,10B,2,1,0,1,0
EthanCZhang,CupertinoCougars,10BB,28,6,6,12,0
CharlotteGColombo,TriValleyLadyBlueDevils,10B,27,2,7,9,0
LeightonDAsprooth,TriValleyLadyBlueDevils,10B,26,39,21,60,0
KayeGulstone,SanJoseJrSharks,10B-2,28,0,1,1,0
KayeGulstone,TriValleyLadyBlueDevils,10B,3,0,0,0,0
BeatriceELewis,TriValleyLadyBlueDevils,10B,28,4,3,7,0
RosalynnBailey,TriValleyLadyBlueDevils,10B,27,1,6,7,0
KeiraNMcDonell,TriValleyBlueDevils,10B,6,4,0,4,0
KeiraNMcDonell,TriValleyLadyBlueDevils,10B,27,2,4,6,0
LibbyCardillo,TriValleyLadyBlueDevils,10B,28,0,4,4,0
SophiaRSbranti,TriValleyLadyBlueDevils,10B,28,1,1,2,0
MorganGCho,TriValleyLadyBlueDevils,10B,27,55,34,89,0
ZvaKTaylor,TriValleyLadyBlueDevils,10B,28,24,10,34,0
SuhyunCho,TriValleyLadyBlueDevils,10B,28,18,6,24,0
ColtonNAnderson,TriValleyBlueDevils,10BB,23,71,22,93,0
KeiraHoffman,TriValleyBlueDevils,10BB,8,1,5,6,15
RomyHoffman,TriValleyBlueDevils,10BB,23,5,7,12,0
ZacharyJCastro,TriValleyBlueDevils,10BB,7,1,0,1,15
RomanKarpenko,TriValleyBlueDevils,10BB,22,20,11,31,0
TheoChan,TriValleyBlueDevils,10BB,22,1,6,7,0
JacksonLewis,TriValleyBlueDevils,10BB,23,3,0,3,0
JasperJChoi,TriValleyBlueDevils,10BB,18,7,3,10,0
GabrielAClements,TriValleyBlueDevils,10BB,21,0,2,2,0
MaximeMPasquier,TriValleyBlueDevils,10BB,16,4,5,9,0
KellenJCorcoran,TriValleyBlueDevils,10BB,20,16,7,23,0
JoshuaMFoisy,TriValleyBlueDevils,10BB,23,1,7,8,0
BrodyMSims,TriValleyBlueDevils,10BB,21,15,7,22,0
LucasDChelba,SanMateoBlackStars,10B,25,4,10,14,0
NoahLJohnson,SanMateoBlackStars,10B,23,3,5,8,2
LazloCianci,SanMateoBlackStars,10B,25,16,7,23,0
MarkWMiltonberger,SanMateoBlackStars,10B,23,2,4,6,0
BrantleyWMorgan,SanMateoBlackStars,10B,24,7,7,14,0
JacksonConley,SanMateoBlackStars,10B,21,2,4,6,0
KurtMSutherland,SanMateoBlackStars,10B,24,51,8,59,0
DavidZCunningham,SanMateoBlackStars,10B,24,0,4,4,0
KatherineHYu,SanMateoBlackStars,10B,23,8,15,23,0
AmaraMatthews,SanMateoBlackStars,10BB,27,0,3,3,0
MasonWChen,SanMateoBlackStars,10BB,27,23,12,35,0
IonaYMcRitchie,SanMateoBlackStars,10BB,27,1,3,4,0
GiovanniCRizzi,SanMateoBlackStars,10BB,27,23,3,26,0
CallenFong,SanMateoBlackStars,10BB,27,11,9,20,0
AidenPWhite,SanMateoBlackStars,10BB,27,3,6,9,0
NoahBFrank,SanMateoBlackStars,10BB,27,4,7,11,0
HaydenCWong,SanMateoBlackStars,10BB,27,12,4,16,0
MickeySHuang,SanMateoBlackStars,10BB,27,0,1,1,0
RickeyLHuang,SanMateoBlackStars,10BB,26,2,6,8,0
AdvikZAnand,SantaClaraBlackhawks,10A,21,36,15,51,0
JjChang,SantaClaraBlackhawks,10A,22,12,4,16,0
KristinaRabodzey,SantaClaraBlackhawks,10A,3,0,0,0,0
KristinaRabodzey,SantaClaraBlackhawks,10B,15,43,7,50,0
KristinaRabodzey,TriValleyLadyBlueDevils,10B,22,8,6,14,0
BenjaminCline,SantaClaraBlackhawks,10A,21,11,14,25,0
YijieGao,SantaClaraBlackhawks,10A,22,1,4,5,0
AiyuTu,SantaClaraBlackhawks,10A,22,0,6,6,0
HarryHWang,SantaClaraBlackhawks,10A,22,13,7,20,0
GavinLieu,SantaClaraBlackhawks,10A,22,3,9,12,0
MartinXu,SantaClaraBlackhawks,10A,21,8,8,16,0
GavinYYang,SantaClaraBlackhawks,10A,13,2,2,4,0
KathrynEChang,SanJoseJrSharksGirls,10B,6,1,1,2,22
AlisonChen,SanJoseJrSharksGirls,10B,23,10,4,14,0
EzriKOlson,SanJoseJrSharksGirls,10B,28,1,1,2,0
EleanorMChen,SanJoseJrSharksGirls,10B,27,0,4,4,0
CharlieLColeman,SanJoseJrSharksGirls,10B,24,1,2,3,0
AlexandraMOuye,SanJoseJrSharksGirls,10B,27,1,2,3,0
AubreyMCooper,SanJoseJrSharksGirls,10B,25,1,0,1,0
EvaFRicci,SanFranciscoSabercats,10A,4,1,1,2,0
EvaFRicci,SanJoseJrSharks,10A-3,28,3,5,8,0
EvaFRicci,SanJoseJrSharksGirls,10B,28,18,5,23,0
DaphnePKenny,SanJoseJrSharksGirls,10B,24,4,1,5,0
AlexCRolleston,SanJoseJrSharksGirls,10B,26,21,4,25,0
KylieSMa,SanJoseJrSharksGirls,10B,28,10,7,17,0
IsobelMin,SanJoseJrSharksGirls,10B,21,7,2,9,0
AdorleeJoyCWong,CupertinoCougars,10BB,19,0,0,0,0
AdorleeJoyCWong,SanJoseJrSharksGirls,10B,25,9,4,13,0
AjayBJanardhanan,SantaClaraBlackhawks,10B,28,10,8,18,0
LoganECaputo,SantaClaraBlackhawks,10A,17,2,5,7,0
LoganECaputo,SantaClaraBlackhawks,10B,4,5,1,6,0
ZacharyLi,SantaClaraBlackhawks,10B,26,21,8,29,0
EricLChen,SantaClaraBlackhawks,10B,22,1,4,5,0
OwenBPitta,SantaClaraBlackhawks,10B,29,1,2,3,0
RoyceMCho,SantaClaraBlackhawks,10B,23,13,8,21,0
RioJRodriguez,SantaClaraBlackhawks,10B,29,2,5,7,0
AlexJGibson,SantaClaraBlackhawks,10B,29,13,8,21,0
LeonardoSiracusa,SantaClaraBlackhawks,10B,29,5,3,8,0
IanYu,SantaClaraBlackhawks,10B,24,0,0,0,0
AbbieXZhang,SantaClaraBlackhawks,10B,26,47,9,56,0
BrockTBirkey,TriValleyBlueDevils,10A-1,25,11,16,27,0
CarsonJKaplenko,TriValleyBlueDevils,10A-1,24,8,9,17,0
ColinCardillo,TriValleyBlueDevils,10A-1,22,10,10,20,0
DamonCKeyser,TriValleyBlueDevils,10A-1,25,9,4,13,0
AlexanderLiang,TriValleyBlueDevils,10A-1,25,4,5,9,0
LukeAEdwards,TriValleyBlueDevils,10A-1,24,13,6,19,0
EthanLiu,TriValleyBlueDevils,10A-1,25,17,11,28,0
MasonWFehlmann,TriValleyBlueDevils,10A-1,24,17,5,22,0
KenjiMMacDonald,TriValleyBlueDevils,10A-1,25,8,11,19,0
LucasFu,TriValleyBlueDevils,10A-1,24,2,5,7,0
MaxxSRaser,TriValleyBlueDevils,10A-1,25,17,11,28,0
MalcolmJGlover,TriValleyBlueDevils,10A-1,25,21,22,43,0
JaxonWSilva,TriValleyBlueDevils,10A-1,25,22,14,36,0
RasmusHolmbaeck,TriValleyBlueDevils,10A-1,1,0,0,0,24
FinnBudgell,LakeTahoeGrizzlies,10B,5,0,2,2,19
NolanDHaden,LakeTahoeGrizzlies,10B,21,1,4,5,0
RobertILufkin,LakeTahoeGrizzlies,10B,22,5,4,9,0
SadieBudgell,LakeTahoeGrizzlies,10B,24,10,9,19,0
KadenWNelson,LakeTahoeGrizzlies,10B,21,7,7,14,0
BodhiBurkholder,LakeTahoeGrizzlies,10B,23,40,9,49,0
RianSPatel,LakeTahoeGrizzlies,10B,22,2,6,8,0
SpencerCChavarria,LakeTahoeGrizzlies,10B,24,14,7,21,0
TrigCRoverud,LakeTahoeGrizzlies,10B,24,9,6,15,0
AleckMChrist,LakeTahoeGrizzlies,10B,22,14,6,20,0
TuckerRTurle,LakeTahoeGrizzlies,10B,24,1,4,5,0
GriffinElliott,LakeTahoeGrizzlies,10B,24,3,3,6,0
MiaWatada,LakeTahoeGrizzlies,10B,22,4,7,11,0
JacksonJFiceto,LakeTahoeGrizzlies,10B,22,13,10,23,0
MacKenzieLWetenkamp,LakeTahoeGrizzlies,10B,14,0,1,1,9
GratiaAGuy,LakeTahoeGrizzlies,10B,22,1,6,7,0
AlexanderLCuevas,OaklandBears,10B,22,63,11,74,0
AnthonyJPatroni,OaklandBears,10B,16,2,4,6,0
LokiDamany,OaklandBears,10B,20,9,10,19,0
HunterHeinz,OaklandBears,10B,20,2,4,6,0
JosephWScotcher,OaklandBears,10B,22,38,10,48,0
OliverFLamMotolik,OaklandBears,10B,21,4,14,18,0
SylusHTaylor,OaklandBears,10B,19,0,5,5,0
KaiperLiu,OaklandBears,10B,18,0,8,8,0
WilliamVincent,OaklandBears,10B,13,2,3,5,8
AsherLuskin,OaklandBears,10B,7,0,1,1,14
JacobWade,OaklandBears,10B,21,2,5,7,0
JohnBrenner,SanFranciscoSabercats,10B,18,0,3,3,3
AdrienCho,SanFranciscoSabercats,10B,21,2,2,4,0
JulianJReyes,SanFranciscoSabercats,10B,23,2,1,3,0
LucaDesimini,SanFranciscoSabercats,10B,19,0,7,7,0
WilliamSantiago,SanFranciscoSabercats,10B,23,4,4,8,0
KeenanEltawil,SanFranciscoSabercats,10B,21,6,4,10,0
EliGrunberg,SanFranciscoSabercats,10B,19,12,6,18,0
JunyiXu,SanFranciscoSabercats,10B,19,4,0,4,0
IanWHalldorson,SanFranciscoSabercats,10B,13,5,1,6,11
VictorPZadmehran,SanFranciscoSabercats,10B,15,0,0,0,0
CoralineYLu,SanFranciscoSabercats,10B,12,5,1,6,10
JakeBurke,CupertinoCougars,10B,22,3,5,8,0
MaskaMazumder,CupertinoCougars,10B,19,7,4,11,0
AlexisChan,CupertinoCougars,10B,17,0,0,0,0
DavidNaulo,CupertinoCougars,10B,22,7,2,9,0
MatthewChien,CupertinoCougars,10B,21,2,5,7,0
GeorgeBSchuett,CupertinoCougars,10B,21,15,9,24,0
ThomasHwang,CupertinoCougars,10B,21,11,3,14,0
MaksimStrukov,CupertinoCougars,10B,23,13,7,20,0
JordanKeba,CupertinoCougars,10B,22,19,14,33,0
TimTXia,CupertinoCougars,10B,23,11,16,27,0
KaterinaLamfalusi,CupertinoCougars,10B,21,1,5,6,0
IanXue,CupertinoCougars,10B,23,8,8,16,0
EliLane,CupertinoCougars,10B,21,35,15,50,1
YuZhu,CupertinoCougars,10B,21,3,6,9,0
DonovanAl-Najjar,SanJoseJrSharks,10B,27,5,3,8,0
PennMBoudreault,SanJoseJrSharks,10B,28,4,5,9,0
MarkErastov,SanJoseJrSharks,10B,29,7,4,11,0
JonathanPeng,SanJoseJrSharks,10B,27,2,3,5,0
BenjaminPSadler,SanJoseJrSharks,10B,24,1,0,1,0
RaahiGandhi,SanJoseJrSharks,10B,29,1,2,3,0
OleksandrSavchenko,SanJoseJrSharks,10B,29,32,17,49,0
ShivRiteshKadu,SanJoseJrSharks,10B,29,24,12,36,0
RyderRWareham,SanJoseJrSharks,10B,29,9,9,18,0
SebastianBLarocque,SanJoseJrSharks,10B,27,3,6,9,0
DylanTYang,SanJoseJrSharks,10B,28,0,4,4,0
ZakariyaSMirza,SanJoseJrSharks,10A-2,31,9,13,22,0
NoahBrouk,SanJoseJrSharks,10A-3,33,17,13,30,0
NolanNMorris,SanJoseJrSharks,10A-3,25,1,3,4,0
AdamRo,SanJoseJrSharks,10A-3,33,6,14,20,0
KieranSDonahue,SanJoseJrSharks,10A-3,29,3,14,17,0
BlakeThayer,SanJoseJrSharks,10A-3,31,0,3,3,0
SamuelRFlynn,SanJoseJrSharks,10A-3,30,27,14,41,0
WilliamMKim,SanJoseJrSharks,10A-3,32,5,0,5,0
PeterHWitzel,SanJoseJrSharks,10A-3,32,8,4,12,0
AndronikKotov,SanJoseJrSharks,10A-3,33,7,5,12,0
GeorgeDYatman,SanJoseJrSharks,10A-3,31,43,23,66,0
DanielSLee,SanJoseJrSharks,10A-3,31,1,1,2,0
RoseMoneger,SanJoseJrSharks,10A-3,27,12,7,19,0
RoseMoneger,SanJoseJrSharksGirls,10B,13,12,4,16,0
TysonWBrennan,SanJoseJrSharks,10B-1,25,15,10,25,0
CalebMarleau,SanJoseJrSharks,10B-1,22,7,10,17,0
EthanTColla,SanJoseJrSharks,10B-1,26,10,9,19,0
JacobMendoza,SanJoseJrSharks,10B-1,27,34,12,46,0
KamdenDecastro,SanJoseJrSharks,10B-1,28,6,2,8,0
MasonGPerez,SanJoseJrSharks,10B-1,28,5,11,16,0
DanteDelfino,SanJoseJrSharks,10B-1,26,3,3,6,0
LucasARichardson,SanJoseJrSharks,10B-1,28,7,1,8,0
TociElnaggar,SanJoseJrSharks,10B-1,27,2,4,6,0
TylerJFoley,SanJoseJrSharks,10B-1,28,16,8,24,0
ZacharyStephanian,SanJoseJrSharks,10B-1,27,4,7,11,0
SimonSKaelin,SanJoseJrSharks,10B-1,28,8,7,15,0
SelmaFTossavainen,SanJoseJrSharksGirls,10B,4,1,0,1,6
LincolnRKosmynka,SanJoseJrSharks,10B-1,24,1,2,3,0
RogerAMadilao,SanJoseJrSharks,10B-1,26,1,3,4,0
TimothyJWilchynski,SanJoseJrSharks,10B-1,1,0,0,0,24
EvanPBerget,CapitalThunder,10A,20,0,1,1,0
MaxwellAHodel,CapitalThunder,10A,19,2,1,3,0
KingstonInoke,CapitalThunder,10A,20,19,3,22,0
TannerMChamberlain,CapitalThunder,10A,18,1,3,4,0
ReeceWJones,CapitalThunder,10A,20,6,4,10,0
GeorgeSDedia,CapitalThunder,10A,11,9,5,14,0
GraysonPotts,CapitalThunder,10A,5,0,0,0,0
TuckerKEngelman,CapitalThunder,10A,20,12,8,20,0
TheodoreFSchwarm,CapitalThunder,10A,20,1,1,2,0
DmitriiFediunin,CapitalThunder,10A,15,7,4,11,0
AndrewFGoshko,CapitalThunder,10A,19,6,11,17,0
MaverickEToole,CapitalThunder,10A,20,4,5,9,0
LucasAWillms,CapitalThunder,10A,18,15,6,21,0
GavinGundred,CapitalThunder,10A,20,4,5,9,0
ConnorCWorthey,CapitalThunder,10A,20,0,5,5,0
RomainLucas,SanFranciscoSabercats,10A,9,1,0,1,10
XanderCutten,SanFranciscoSabercats,10A,24,17,9,26,0
SarpOkar,SanFranciscoSabercats,10A,24,11,10,21,0
KingsleyDeng,SanFranciscoSabercats,10A,10,1,0,1,14
AddieLHanson,SanFranciscoSabercats,10A,21,3,3,6,0
JensenAHuot,SanFranciscoSabercats,10A,26,5,7,12,0
NikhilSoni,SanFranciscoSabercats,10A,24,12,8,20,0
KaiAWealand,SanFranciscoSabercats,10A,22,4,7,11,0
DylanRKnopp,SanFranciscoSabercats,10A,25,63,15,78,0
DylanYeh,SanFranciscoSabercats,10A,22,7,8,15,0
ErelNKrasner,SanFranciscoSabercats,10A,26,5,11,16,0
LukaBegic,SanJoseJrSharks,10B-2,29,5,3,8,0
JoshuaTCasem,SanJoseJrSharks,10B-2,29,2,3,5,0
MichaelRabodzey,SanJoseJrSharks,10B-2,23,3,3,6,0
MatthewCheng,SanJoseJrSharks,10B-2,29,11,10,21,0
RickyRamsay,SanJoseJrSharks,10B-2,27,1,1,2,0
AlexJCraighead,SanJoseJrSharks,10B-2,17,1,0,1,0
SophiaGRios,SanJoseJrSharks,10B-2,24,4,1,5,0
EstonEge,SanJoseJrSharks,10B-2,26,1,0,1,0
HenryKSlack,SanJoseJrSharks,10B-2,26,17,12,29,0
SamanthaJensen,SanJoseJrSharks,10B-2,29,0,0,0,0
WilliamPStork,SanJoseJrSharks,10B-2,27,6,8,14,0
AdrianLeung,SanJoseJrSharks,10B-2,29,1,0,1,0
ClaytonMBilleter,SantaRosaFlyers,10BB,21,3,15,18,0
LukeJBruckbauer,SantaRosaFlyers,10BB,21,19,14,33,0
WilliamCPerez,SantaRosaFlyers,10BB,21,3,4,7,0
RyderEFalk,SantaRosaFlyers,10BB,20,0,2,2,0
HaydenEPungprakearti,SantaRosaFlyers,10BB,20,2,3,5,0
CyrusTFellman,SantaRosaFlyers,10BB,20,3,3,6,0
TheodorePungprakearti,SantaRosaFlyers,10BB,20,6,0,6,0
ColtWRenshaw,SantaRosaFlyers,10BB,21,4,5,9,0
ZacharyLGagnebin,SantaRosaFlyers,10BB,19,25,11,36,0
RowanERogers-Lockwood,SantaRosaFlyers,10BB,20,9,8,17,0
JaxonLSchultz,SantaRosaFlyers,10BB,20,9,4,13,0
FletcherWSeifert,SantaRosaFlyers,10BB,21,6,2,8,0
TajRLopez,SantaRosaFlyers,10BB,19,13,12,25,0
TheodoreATravis,SantaRosaFlyers,10BB,21,16,11,27,0
ChanceDOdonnell,SantaRosaFlyers,10BB,20,1,5,6,0
EastonALuis,LakeTahoeGrizzlies,10B,21,2,2,4,0
PatrickJMorton,CupertinoCougars,10BB,22,2,7,9,0
OwenJMartin,SanFranciscoSabercats,10A,18,6,8,14,0
KhaiETran,TriValleyBlueDevils,10A-2,22,0,1,1,0
DashiellCDunmore,SanFranciscoSabercats,10B,16,0,3,3,0
CalvinKittenbrink,SanFranciscoSabercats,10B,19,3,2,5,0
WilliamTMonson,FresnoJrMonsters,10BB,22,0,11,11,0
PorterACoates,RenoIce,10A,19,4,0,4,0
GraysonDyer,CapitalThunder,10A,19,10,7,17,0
MorrisonTrusso,CapitalThunder,10A,2,0,0,0,0
AaheliChakravorty,SanJoseJrSharksGirls,10B,26,7,6,13,0
AndreaCLawson,SanJoseJrSharksGirls,10B,23,1,2,3,0
DarrinCianci,SanMateoBlackStars,10B,5,0,0,0,0
MarcoPStaples,SanMateoBlackStars,10B,20,3,6,9,0
LiamZawisza,VacavilleJets,10BB,22,20,11,31,0
CoralAHoobler,VacavilleJets,10BB,2,0,0,0,18
KyleAhumada,SanJoseJrSharks,10B,1,0,1,1,0
YuhaoZhang,SantaClaraBlackhawks,10B,28,9,8,17,0
LoganRMacLeod,OaklandBears,10B,17,0,3,3,0
GaelCote,SanFranciscoSabercats,10B,21,8,3,11,0
IlanRubakha,SanJoseJrSharks,10A-3,31,1,4,5,0
RyderTownsend,FresnoJrMonsters,10BB,21,19,21,40,0
NicholasChang,SanJoseJrSharks,10B-1,23,6,3,9,0
EbenLouw,SanJoseJrSharks,10B,23,10,13,23,0
CiaranJCampbell,SanJoseJrSharks,10B,26,27,11,38,0
LiamSherry,SanFranciscoSabercats,10A,7,0,0,0,0
RozlynEEven,CapitalThunder,10A,3,0,0,0,0
AngelinaXin,CupertinoCougars,10B,5,3,0,3,0
TylerASmith,SanJoseJrSharks,10B,25,13,8,21,0
KyleKAhumada,SanJoseJrSharks,10B,22,0,2,2,0
RileyThach,TriValleyBlueDevils,10A-2,18,4,1,5,0
DylanAEtchieson,VacavilleJets,10BB,18,0,3,3,0
LiamRSherry,SanFranciscoSabercats,10A,1,0,0,0,0
MorganCho,TriValleyLadyBlueDevils,10B,1,5,2,7,0
GavinARogers,SantaClaraBlackhawks,10B,12,1,4,5,0
LandonDTorrecilla,TriValleyBlueDevils,10B,2,0,0,0,0
LukasHeithoff,OaklandBears,10B,3,1,0,1,3
