Name,Team,Level,GP,G,A,P
ElwenMZhao,CupertinoCougars,10BB,22,3,7,10,0
VitoTCotrone,LakeTahoeGrizzlies,10B,6,0,3,3,0
BenjaminGMichaels,LakeTahoeGrizzlies,10B,20,0,3,3,1
SofiOOwens,LakeTahoeGrizzlies,10B,22,0,7,7,0
TristanMDries,LakeTahoeGrizzlies,10B,4,0,2,2,19
JosefRProchazka,LakeTahoeGrizzlies,10B,19,11,7,18,0
DolgoonEnkhbayar,LakeTahoeGrizzlies,10B,18,42,14,56,1
ColterLRobertson,LakeTahoeGrizzlies,10B,21,23,5,28,0
MatthewAKlym,LakeTahoeGrizzlies,10B,18,45,16,61,0
StephenRRocke,LakeTahoeGrizzlies,10B,21,14,7,21,1
MackenzieJLivingston,LakeTahoeGrizzlies,10B,19,1,2,3,1
LukeRSloane,LakeTahoeGrizzlies,10B,16,8,3,11,0
GavinBAnderson,CapitalThunder,10A,18,13,11,24,0
ReidBellingrath,CapitalThunder,10A,20,5,17,22,0
JacksonLipps,CapitalThunder,10A,21,0,8,8,0
CreightonBrown,CapitalThunder,10A,15,6,4,10,0
BraydenJObad,CapitalThunder,10A,20,5,6,11,0
LucasDelgado,CapitalThunder,10A,21,30,21,51,0
TorinOOdestig,CapitalThunder,10A,21,5,10,15,0
JamesMHoobler,CapitalThunder,10A,21,17,16,33,0
CameronGRiddle,CapitalThunder,10A,18,9,14,23,0
ZacharyJHughes,CapitalThunder,10A,19,66,14,80,0
AeneasRAtienza-Washington,OaklandBears,10B,23,6,10,16,0
NathanABrown,OaklandBears,10B,25,33,11,44,0
LukasNatour,OaklandBears,10B,3,0,2,2,20
NoahASmith,OaklandBears,10B,24,7,4,11,0
JoshuaRCanepa,OaklandBears,10B,25,5,6,11,0
DarwinDunston,OaklandBears,10B,25,13,11,24,0
ColbyJWilliamson,OaklandBears,10B,24,36,20,56,0
MichaelJHarrison,OaklandBears,10B,25,6,8,14,0
KieranJWladyka,OaklandBears,10B,25,2,9,11,0
OwenALynn,OaklandBears,10B,23,9,5,14,0
CarlosAAyonIi,SanFranciscoSabercats,10A,1,0,0,0,23
CooperRLewis,SanFranciscoSabercats,10A,24,14,11,25,0
MarcRBorzoni,SanFranciscoSabercats,10A,24,6,6,12,0
FabioAMonson,SanFranciscoSabercats,10A,23,32,26,58,0
ConorJChan,SanFranciscoSabercats,10A,24,20,19,39,0
ZacharyElias,SanFranciscoSabercats,10A,22,11,11,22,0
EthanANgo,SanFranciscoSabercats,10A,23,15,10,25,0
KyleGiang,SanFranciscoSabercats,10A,24,5,10,15,0
JailynLPaquin-Askew,SanFranciscoSabercats,10A,17,5,9,14,0
GarrisonHsia,SanFranciscoSabercats,10A,24,26,17,43,0
JeddHSo,SanFranciscoSabercats,10A,23,4,5,9,0
DevinTKapke,SanFranciscoSabercats,10A,24,10,6,16,0
NoahLeinov,SanFranciscoSabercats,10B,24,4,1,5,0
NicholasHBausman,SanFranciscoSabercats,10B,25,1,4,5,0
WhitneyMcnaughton,SanFranciscoSabercats,10B,20,0,7,7,0
JacksonFaulkner,SanFranciscoSabercats,10B,24,24,13,37,0
ColeGGardner,SanFranciscoSabercats,10B,23,20,17,37,1
WilliamJHamiltonIv,SanFranciscoSabercats,10B,22,0,7,7,0
LuccaSmithAlvarado,SanFranciscoSabercats,10B,25,1,5,6,0
JaedenHuot,SanFranciscoSabercats,10B,26,0,11,11,0
MaiSThurlowLam,SanFranciscoSabercats,10B,23,7,2,9,0
HarringtonYeh,SanFranciscoSabercats,10B,23,1,2,3,0
JackKAlbrecht,SantaRosaFlyers,10BB,25,4,6,10,0
CaleKNewell,SantaRosaFlyers,10BB,25,4,6,10,0
LucasMPetterssen,SantaRosaFlyers,10B,7,5,1,6,0
LucasMPetterssen,SantaRosaFlyers,10BB,17,2,4,6,0
NathanJBrindmore,SantaRosaFlyers,10BB,24,18,15,33,0
WilliamDPikey,SantaRosaFlyers,10BB,23,3,4,7,0
CooperRPreston,SantaRosaFlyers,10BB,21,23,8,31,0
AidanYBurke,SantaRosaFlyers,10BB,25,8,13,21,0
LeviEQuinn,SantaRosaFlyers,10BB,19,3,3,6,0
AlessioLCacchi,SantaRosaFlyers,10BB,25,4,6,10,0
EricsonLRummel,SantaRosaFlyers,10BB,25,6,10,16,0
CharlesACavagnaIv,SantaRosaFlyers,10BB,21,2,6,8,0
IsaiahSZumwalt,SantaRosaFlyers,10BB,5,0,0,0,18
DanielChang,SantaRosaFlyers,10BB,25,14,11,25,0
LandonWBergman,TriValleyBlueDevils,10A-2,22,11,7,18,0
SamuelBoutet,TriValleyBlueDevils,10A-2,24,22,13,35,0
MartinOlsson,TriValleyBlueDevils,10A-2,23,2,5,7,0
SamuelEReynolds,TriValleyBlueDevils,10A-2,24,1,5,6,0
TyByrd,TriValleyBlueDevils,10A-2,21,5,7,12,0
TheodoreRCourneya,TriValleyBlueDevils,10A-2,24,2,3,5,0
LachlanJSpaulding,TriValleyBlueDevils,10A-2,24,8,7,15,0
JonathanQHo,TriValleyBlueDevils,10A-2,24,8,3,11,0
LairdBSpaulding,TriValleyBlueDevils,10A-2,24,1,4,5,0
JasperHoffman,TriValleyBlueDevils,10A-2,23,6,5,11,0
WilliamVValentine,TriValleyBlueDevils,10A-2,24,11,4,15,0
AlexanderJLemoine,TriValleyBlueDevils,10A-2,23,0,2,2,0
JacobLBernstein,SanMateoBlackStars,10B,25,25,12,37,0
MaxwellDPfenninger,SanMateoBlackStars,10B,23,1,1,2,0
BradyAPollard,SanMateoBlackStars,10B,22,10,2,12,0
JulianMLevenson,SanMateoBlackStars,10B,23,4,3,7,0
QuincyKQuattlebaum,SanMateoBlackStars,10B,24,15,8,23,1
JulianRUngar-Salazar,SanMateoBlackStars,10B,23,5,5,10,0
TaiseiMiyagawa,SanMateoBlackStars,10B,22,5,6,11,0
DavidLYurovitsky,SanMateoBlackStars,10B,22,1,6,7,0
ZacharyKMoore,SanMateoBlackStars,10B,22,6,11,17,0
VihaanAgrawal,TriValleyBlueDevils,10BB,25,4,3,7,0
TylerJLieu,TriValleyBlueDevils,10BB,23,12,6,18,0
RiyaanAmin,TriValleyBlueDevils,10BB,23,2,2,4,0
OwenAMansell,TriValleyBlueDevils,10BB,22,0,4,4,0
CameronDAsprooth,TriValleyBlueDevils,10BB,24,11,11,22,0
MaddoxWOrmsby,TriValleyBlueDevils,10BB,25,3,4,7,0
MannanSingh,TriValleyBlueDevils,10BB,20,5,1,6,0
DylanMBuurkarl,TriValleyBlueDevils,10BB,25,17,6,23,0
EasonCao,TriValleyBlueDevils,10BB,23,0,2,2,0
HunterTTindle,TriValleyBlueDevils,10BB,24,2,4,6,0
PadraicSDwyer,TriValleyBlueDevils,10BB,25,10,8,18,0
DenisWolf,TriValleyBlueDevils,10BB,25,8,4,12,0
AaravGanesh,TriValleyBlueDevils,10BB,23,3,2,5,0
VicenteAlberolaAlmenara,FresnoJrMonsters,10BB,19,12,13,25,0
JamesBahrenburg,FresnoJrMonsters,10BB,19,10,9,19,0
AustinPlummer,FresnoJrMonsters,10BB,19,0,8,8,0
TylerRScott,FresnoJrMonsters,10BB,18,6,13,19,0
BishopSJames,FresnoJrMonsters,10BB,19,13,9,22,0
PeterDKalina,FresnoJrMonsters,10BB,20,4,5,9,0
BarrettLSmith,FresnoJrMonsters,10BB,20,28,16,44,0
CalebJLee,FresnoJrMonsters,10BB,20,10,15,25,0
EthanWWoods,FresnoJrMonsters,10BB,19,4,6,10,0
JacksonDLee,FresnoJrMonsters,10BB,20,0,4,4,0
CarsonRWyatt,FresnoJrMonsters,10BB,20,4,19,23,0
GeorgeGMadec,FresnoJrMonsters,10BB,20,11,12,23,0
JacksonJBrennan,VacavilleJets,10BB,1,0,0,0,20
ChristopherAKhoury,VacavilleJets,10BB,21,22,16,38,0
CaesarAMassari,VacavilleJets,10BB,1,0,0,0,20
AlbertDReyes,VacavilleJets,10BB,21,10,11,21,0
EdwinNEgov,VacavilleJets,10BB,21,12,9,21,0
NathanCRondoni,VacavilleJets,10BB,21,7,12,19,0
CarterMSmith,VacavilleJets,10BB,21,2,10,12,0
TroyWHarrold,VacavilleJets,10BB,21,2,6,8,0
MaximVasilyev,VacavilleJets,10BB,21,10,17,27,0
BostonVHeston-Rojas,VacavilleJets,10BB,21,1,7,8,0
StevenDWehling,VacavilleJets,10BB,21,5,7,12,0
KyanKatz,VacavilleJets,10BB,21,24,15,39,0
ZoeyJWood,VacavilleJets,10BB,21,9,14,23,0
BrendanRKeskull-Moffatt,VacavilleJets,10BB,21,8,13,21,0
NathanGBureaux,StocktonColts,10A,19,1,2,3,0
MathiasVMartinez,StocktonColts,10A,18,0,0,0,0
LandonPConstant,StocktonColts,10A,20,0,3,3,0
LandonGCorcoran,StocktonColts,10A,16,10,5,15,0
HaydenMNelson,StocktonColts,10A,20,5,3,8,0
ElleEDelgado,StocktonColts,10A,20,8,3,11,0
IzackAParsons,StocktonColts,10A,20,15,6,21,0
GrantPDevelbiss,StocktonColts,10A,18,2,5,7,0
BraydenTSchneider,StocktonColts,10A,20,0,0,0,0
ZackAKeough,StocktonColts,10A,18,0,0,0,0
DarrianJStevens,StocktonColts,10A,20,3,2,5,0
JacksonTLenhardt,StocktonColts,10A,20,1,2,3,0
DevinSJimenez,SanJoseJrSharks,10A-2,21,5,7,12,0
EvanABeech,SanJoseJrSharks,10A-2,23,9,14,23,0
JakeJLanzavecchia,SanJoseJrSharks,10A-2,23,5,5,10,0
BorisDBektchiev,SanJoseJrSharks,10A-2,23,0,3,3,0
BrodyCMarleau,SanJoseJrSharks,10A-2,21,15,8,23,0
GabrielJCombellas,SanJoseJrSharks,10A-2,24,6,7,13,0
CarterSMckone,SanJoseJrSharks,10A-2,22,5,10,15,0
IliasGDefreitas,SanJoseJrSharks,10A-2,24,21,3,24,0
NaylenWSaito,SanJoseJrSharks,10A-2,23,5,6,11,0
DevinKianTShape,SanJoseJrSharks,10A-2,24,21,4,25,0
TrevorTShinden,SanJoseJrSharks,10A-2,23,3,5,8,0
KazimierzSSoszynski,SanJoseJrSharks,10A-2,20,4,2,6,0
NiklasOTossavainen,SanJoseJrSharks,10A-2,24,0,1,1,0
ThomasYHoh,SanJoseJrSharks,10A-2,23,3,4,7,0
MatthiasBaniqued,SanJoseJrSharks,10A-3,24,2,4,6,0
DuncanHRoss,SanJoseJrSharks,10A-3,22,1,4,5,0
AdamBenassaya,SanJoseJrSharks,10A-3,22,32,16,48,0
MartinASanin,SanJoseJrSharks,10A-3,23,0,7,7,0
OwenLSilva,SanJoseJrSharks,10A-3,24,12,8,20,0
TylerJSmith,SanJoseJrSharks,10A-3,23,4,11,15,0
AlexanderFilev,SanJoseJrSharks,10A-3,24,7,13,20,0
TimothyThodiyil,SanJoseJrSharks,10A-3,23,5,6,11,0
CadenAHoyer,SanJoseJrSharks,10A-3,23,11,4,15,0
BennettCToth,SanJoseJrSharks,10A-3,2,0,1,1,22
JaxJJohnson,SanJoseJrSharks,10A-3,24,16,6,22,0
KyleMReed,SanJoseJrSharks,10A-3,24,6,9,15,0
ZacharyDWong,SanJoseJrSharks,10A-3,24,0,2,2,0
JonathanLYang,SanJoseJrSharks,10A-3,24,9,4,13,0
LilyJBreckenridge,SantaRosaFlyers,10B,22,3,3,6,0
NathanMccarthy,SantaRosaFlyers,10B,2,0,0,0,0
LiamRCoretti,SantaRosaFlyers,10B,11,0,5,5,10
LukasPPaaske,SantaRosaFlyers,10B,19,3,2,5,0
TristynKCosta,SantaRosaFlyers,10B,22,0,1,1,0
GavinJPalmer,SantaRosaFlyers,10B,13,3,2,5,8
AsherJSchwartz,SantaRosaFlyers,10B,18,0,0,0,4
BenjaminSpring,SantaRosaFlyers,10B,17,1,6,7,0
ThomasJGagnebin,SantaRosaFlyers,10B,22,12,4,16,0
OscarLUrioste,SantaRosaFlyers,10B,18,24,3,27,0
DanielDWagner,SantaRosaFlyers,10B,21,2,2,4,0
TrevorRLi,SantaRosaFlyers,10B,22,0,2,2,0
DominicFAliano,TriValleyBlueDevils,10A-1,26,14,7,21,0
JacksonTBailey,TriValleyBlueDevils,10A-1,27,18,13,31,0
AidanJJames,TriValleyBlueDevils,10A-1,27,26,28,54,0
CalixLClarke,TriValleyBlueDevils,10A-1,27,12,24,36,0
JoshuaAKessel,TriValleyBlueDevils,10A-1,27,18,19,37,0
KylePCurrier,TriValleyBlueDevils,10A-1,27,18,15,33,0
JalaluddinKhawaja,TriValleyBlueDevils,10A-1,25,31,23,54,0
AndrewKPenny,TriValleyBlueDevils,10A-1,27,61,27,88,0
JacobJVukman,TriValleyBlueDevils,10A-1,26,16,12,28,0
ZedricWong,TriValleyBlueDevils,10A-1,25,8,6,14,0
WilliamYHuh,TriValleyBlueDevils,10A-1,21,6,11,17,0
DonovanTSoliven,StocktonColts,10A,18,7,6,13,0
KyleRChen,CupertinoCougars,10A,17,11,9,20,0
LeonardoSSebastianIii,CupertinoCougars,10A,20,16,17,33,0
DevinMDavis,CupertinoCougars,10A,20,14,9,23,0
AbelToth,CupertinoCougars,10A,19,3,5,8,0
DennisFrenkel,CupertinoCougars,10A,20,1,4,5,0
DenizHUnal,CupertinoCougars,10A,20,16,9,25,0
SoichiroEHattori-Roels,CupertinoCougars,10A,20,6,9,15,0
MateoTHemchand,CupertinoCougars,10A,20,2,3,5,0
TylerXYu,CupertinoCougars,10A,20,7,8,15,0
EvanMYuan,CupertinoCougars,10A,20,2,5,7,0
LeviKSalverson,CupertinoCougars,10A,20,22,14,36,0
BennettCPirie,SanFranciscoSabercats,10B,23,9,7,16,0
StuartGGraveline,FresnoJrMonsters,10BB,19,13,8,21,0
KotaroCCalvert,SanJoseJrSharks,10B-1,24,9,1,10,0
AndrewDPeterson,SanJoseJrSharks,10B-1,24,10,5,15,0
MorganKCurlee,SanJoseJrSharks,10B-1,24,0,1,1,0
MichaelJPeterson,SanJoseJrSharks,10B-1,24,1,4,5,0
DevinTDelaRosa,SanJoseJrSharks,10B-1,23,10,8,18,0
RowanJPotter,SanJoseJrSharks,10B-1,17,0,0,0,0
OrrinMHavens,SanJoseJrSharks,10B-1,24,18,10,28,0
ShotaroTsunoi,SanJoseJrSharks,10B-1,24,2,4,6,0
KellenJKinkor-Wright,SanJoseJrSharks,10B-1,22,2,1,3,0
TrevorDKnize,SanJoseJrSharks,10B-1,23,1,4,5,0
ZhongyangYin,SanJoseJrSharks,10B-1,24,2,0,2,0
YutongLan,SanJoseJrSharks,10B-1,24,7,4,11,0
VictorWZhang,SanJoseJrSharks,10B-1,24,2,3,5,0
LoganJMcclellan,SanJoseJrSharks,10B-1,23,0,1,1,0
DerekZhao,SanJoseJrSharks,10B-1,24,1,2,3,0
JonathanDurzan,TriValleyBlueDevils,10A-2,15,0,0,0,0
AdishJoshi,SantaClaraBlackhawks,10A,19,5,7,12,0
MichaelRAckerman,SantaClaraBlackhawks,10A,20,9,2,11,0
MasonLLam,SantaClaraBlackhawks,10A,20,1,5,6,0
SayakoCAmagata,SantaClaraBlackhawks,10A,20,2,5,7,0
MichaelLi,SantaClaraBlackhawks,10A,20,12,8,20,0
DevinBeckett,SantaClaraBlackhawks,10A,20,15,8,23,0
AidanSFernandes,SantaClaraBlackhawks,10A,18,9,4,13,0
JamesRStanley,SantaClaraBlackhawks,10A,20,8,9,17,0
JacobCFoisy,SantaClaraBlackhawks,10A,20,12,6,18,0
EthanGYam,SantaClaraBlackhawks,10A,18,4,4,8,0
YotaroCKuwajima,SanMateoBlackStars,10BB,24,0,0,0,0
KevinMCaruso,SanMateoBlackStars,10BB,22,2,3,5,0
ZacharyPLevesque,SanMateoBlackStars,10BB,17,5,5,10,0
DominicADellaChiesa,SanMateoBlackStars,10BB,22,4,4,8,1
GiacomoLMarchioni,SanMateoBlackStars,10BB,24,16,6,22,0
EdwardWMorton,SanMateoBlackStars,10BB,17,2,5,7,0
FyodorMPanchenko,SanMateoBlackStars,10BB,20,4,3,7,0
StanleyTang,SanMateoBlackStars,10BB,24,6,2,8,0
EthanJHong,SanMateoBlackStars,10BB,22,1,1,2,0
GavinNThompson,SanMateoBlackStars,10BB,22,5,6,11,0
MikhailKobrinskii,SanMateoBlackStars,10BB,23,1,3,4,0
FritzDBui,SanMateoBlackStars,10-3,20,4,1,5,0
MarcusYLu,SanMateoBlackStars,10-3,23,4,2,6,0
AlexanderDecourcey,SanMateoBlackStars,10-3,23,0,0,0,0
CaidenMatthews,SanMateoBlackStars,10-3,5,0,1,1,14
TylerJDecourcey,SanMateoBlackStars,10-3,23,0,0,0,0
VivianMPorter,SanMateoBlackStars,10-3,16,3,2,5,0
MadelynnHHaro,SanMateoBlackStars,10-3,22,1,1,2,0
MitchellMRowe,SanMateoBlackStars,10-3,16,1,1,2,0
ClaireDJung,SanMateoBlackStars,10-3,18,0,1,1,0
Kurt2Kohn,SanMateoBlackStars,10-3,17,1,1,2,0
GiuliaPSmith,SanMateoBlackStars,10-3,6,2,1,3,0
GiuliaPSmith,SanMateoBlackStars,10B,16,7,4,11,0
AlisaTarnikova,SanMateoBlackStars,10-3,22,1,1,2,0
ElliotLam,SanMateoBlackStars,10-3,22,0,0,0,0
WagnerWatson,SanMateoBlackStars,10-3,21,2,0,2,0
ParkerRCrudale,TriValleyBlueDevils,10BB,23,8,12,20,0
AndreiSDuxbury,OaklandBears,10B,23,14,12,26,0
ConnorDBowe,LakeTahoeGrizzlies,10B,22,1,6,7,0
WalkerAMoss,LakeTahoeGrizzlies,10B,22,4,8,12,0
MilesPColeman,LakeTahoeGrizzlies,10B,19,1,7,8,0
BryceCNye-Morrell,LakeTahoeGrizzlies,10B,22,3,10,13,0
NolanMBollinger,SantaRosaFlyers,10B,15,3,0,3,0
AlvinFengHenAHo,SanFranciscoSabercats,10B,11,0,0,0,1
AlvinFengHenAHo,TriValleyBlueDevils,10A-2,4,1,0,1,0
SteveStevenson,SanJoseJrSharks,10A-3,16,0,1,1,0
ElliottCRizvi,SanMateoBlackStars,10B,24,13,8,21,0
EleanorTalmadge,SanMateoBlackStars,10B,24,7,4,11,0
MaxwellUlinich,SanMateoBlackStars,10B,24,1,4,5,0
IvarMcritchie,SanMateoBlackStars,10BB,23,8,1,9,0
DavidCuperstein,SanFranciscoSabercats,10B,22,28,15,43,0
PabloRMolina,OaklandBears,10B,22,10,17,27,0
MasonLCaster,SantaRosaFlyers,10BB,18,0,2,2,0
WilliamJLang,SanMateoBlackStars,10BB,18,4,2,6,0
GradyGAddleman,SantaRosaFlyers,10BB,15,1,6,7,6
LucaAdornato,TriValleyBlueDevils,10A-1,24,12,22,34,0
VitaliiIarovoi,SanJoseJrSharks,10A-3,20,20,12,32,0
JillianERizzi,SanMateoBlackStars,10-3,2,0,0,0,0
KayleeDrucker,SanMateoBlackStars,10-3,18,0,1,1,0
ColtonRJohnson,CapitalThunder,10A,15,1,3,4,0
DarioGLenzi,StocktonColts,10A,9,0,0,0,0
MilesPJoing,SanMateoBlackStars,10-3,14,1,0,1,0
GeoffreyMMiller,SanMateoBlackStars,10-3,3,0,0,0,6
